month;product_id;market_id;category;brand;lifecycle_stage;region;lead_time_months;strategic_priority;actual_demand_units;promo_flag;campaign_intensity;demand_signal_quality;available_supply_units;production_capacity_units;supply_constraint_flag;actual_shipped_units;unfulfilled_demand_units;service_level_pct;ending_inventory_units;inventory_risk_status
1/1/2021;PRD002;MKT008;Skincare;Aurelian;Core;LATAM;4;5;902;0;1;Low;15250;15512;0;902;0;1;1274;Normal
1/1/2021;PRD002;MKT009;Skincare;Aurelian;Core;APAC;4;4;696;0;1;Medium;15250;15512;0;696;0;1;1051;Normal
1/1/2021;PRD002;MKT010;Skincare;Aurelian;Core;APAC;3;4;1449;0;1;High;15250;15512;0;1424;25;0,98;600;Normal
1/1/2021;PRD002;MKT011;Skincare;Aurelian;Core;MEA;3;1;1921;0;1;High;15250;15512;0;1477;444;0,77;1094;Normal
1/1/2021;PRD002;MKT012;Skincare;Aurelian;Core;MEA;4;5;1276;0;1;Medium;15250;15512;0;1276;0;1;1760;Normal
1/1/2021;PRD003;MKT001;Makeup;Aurelian;Seasonal;WE;1;3;744;0;1;Medium;11676;12373;0;702;42;0,94;891;Normal
1/1/2021;PRD003;MKT002;Makeup;Aurelian;Seasonal;WE;1;5;759;0;1;High;11676;12373;0;759;0;1;800;Normal
1/1/2021;PRD003;MKT003;Makeup;Aurelian;Seasonal;WE;2;4;922;0;1;Medium;11676;12373;0;891;31;0,97;105;Stockout Risk
1/1/2021;PRD003;MKT004;Makeup;Aurelian;Seasonal;NA;2;4;631;0;1;High;11676;12373;0;631;0;1;1165;Normal
1/1/2021;PRD003;MKT005;Makeup;Aurelian;Seasonal;NA;3;2;673;0;1;High;11676;12373;0;673;0;1;214;Normal
1/1/2021;PRD003;MKT006;Makeup;Aurelian;Seasonal;LATAM;2;2;769;1;1;Low;11676;12373;0;702;67;0,91;1203;Normal
1/1/2021;PRD003;MKT007;Makeup;Aurelian;Seasonal;LATAM;3;1;905;0;1;High;11676;12373;0;766;139;0,85;1465;Normal
1/1/2021;PRD003;MKT008;Makeup;Aurelian;Seasonal;LATAM;4;5;590;0;1;High;11676;12373;0;590;0;1;1230;Normal
1/1/2021;PRD003;MKT009;Makeup;Aurelian;Seasonal;APAC;4;4;506;0;1;Medium;11676;12373;0;506;0;1;785;Normal
1/1/2021;PRD003;MKT010;Makeup;Aurelian;Seasonal;APAC;3;4;1493;0;1;Medium;11676;12373;0;1257;236;0,84;0;Stockout Risk
1/1/2021;PRD003;MKT011;Makeup;Aurelian;Seasonal;MEA;3;1;1201;0;1;High;11676;12373;0;936;265;0,78;787;Normal
1/1/2021;PRD003;MKT012;Makeup;Aurelian;Seasonal;MEA;4;5;734;0;1;Medium;11676;12373;0;734;0;1;316;Normal
1/1/2021;PRD004;MKT001;Bodycare;Aurelian;Seasonal;WE;1;3;769;0;1;High;9683;9216;0;672;97;0,87;460;Normal
1/1/2021;PRD004;MKT002;Bodycare;Aurelian;Seasonal;WE;1;5;707;0;1;Medium;9683;9216;0;707;0;1;1027;Normal
1/1/2021;PRD004;MKT003;Bodycare;Aurelian;Seasonal;WE;2;4;572;0;1;Medium;9683;9216;0;572;0;1;864;Normal
1/1/2021;PRD004;MKT004;Bodycare;Aurelian;Seasonal;NA;2;4;956;0;1;High;9683;9216;0;848;108;0,89;721;Normal
1/1/2021;PRD004;MKT005;Bodycare;Aurelian;Seasonal;NA;3;2;582;0;1;Low;9683;9216;0;582;0;1;964;Normal
1/1/2021;PRD004;MKT006;Bodycare;Aurelian;Seasonal;LATAM;2;2;445;0;1;High;9683;9216;0;445;0;1;261;Normal
1/1/2021;PRD004;MKT007;Bodycare;Aurelian;Seasonal;LATAM;3;1;1028;0;1;Medium;9683;9216;0;799;229;0,78;1377;Normal
1/1/2021;PRD004;MKT008;Bodycare;Aurelian;Seasonal;LATAM;4;5;473;0;1;Low;9683;9216;0;473;0;1;1136;Normal
1/1/2021;PRD004;MKT009;Bodycare;Aurelian;Seasonal;APAC;4;4;468;0;1;Medium;9683;9216;0;468;0;1;381;Normal
1/1/2021;PRD004;MKT010;Bodycare;Aurelian;Seasonal;APAC;3;4;502;0;1;High;9683;9216;0;502;0;1;1600;High Overstock Risk
1/1/2021;PRD004;MKT011;Bodycare;Aurelian;Seasonal;MEA;3;1;994;0;1;High;9683;9216;0;779;215;0,78;371;Normal
1/1/2021;PRD004;MKT012;Bodycare;Aurelian;Seasonal;MEA;4;5;713;0;1;High;9683;9216;0;713;0;1;545;Normal
1/1/2021;PRD005;MKT001;Fragrance;Bellora;Core;WE;1;3;878;0;1;High;13636;12183;0;820;58;0,93;1568;Normal
1/1/2021;PRD005;MKT002;Fragrance;Bellora;Core;WE;1;5;1630;1;1;High;13636;12183;0;1363;267;0,84;986;Normal
1/1/2021;PRD005;MKT003;Fragrance;Bellora;Core;WE;2;4;694;0;1;Low;13636;12183;0;694;0;1;832;Normal
1/1/2021;PRD005;MKT004;Fragrance;Bellora;Core;NA;2;4;1200;0;1;High;13636;12183;0;1100;100;0,92;253;Stockout Risk
1/1/2021;PRD005;MKT005;Fragrance;Bellora;Core;NA;3;2;764;0;1;Low;13636;12183;0;764;0;1;711;Normal
1/1/2021;PRD005;MKT006;Fragrance;Bellora;Core;LATAM;2;2;666;0;1;Medium;13636;12183;0;666;0;1;1381;Normal
1/1/2021;PRD005;MKT007;Fragrance;Bellora;Core;LATAM;3;1;924;0;1;High;13636;12183;0;814;110;0,88;589;Normal
1/1/2021;PRD005;MKT008;Fragrance;Bellora;Core;LATAM;4;5;753;0;1;Medium;13636;12183;0;753;0;1;646;Normal
1/1/2021;PRD005;MKT009;Fragrance;Bellora;Core;APAC;4;4;504;0;1;High;13636;12183;0;504;0;1;589;Normal
1/1/2021;PRD005;MKT010;Fragrance;Bellora;Core;APAC;3;4;1311;0;1;Medium;13636;12183;0;1204;107;0,92;590;Normal
1/1/2021;PRD005;MKT011;Fragrance;Bellora;Core;MEA;3;1;1184;0;1;High;13636;12183;0;964;220;0,81;842;Normal
1/1/2021;PRD005;MKT012;Fragrance;Bellora;Core;MEA;4;5;772;0;1;Low;13636;12183;0;772;0;1;1782;Normal
1/1/2021;PRD006;MKT001;Skincare;Bellora;Core;WE;1;3;1580;1;1;High;13409;14687;0;1272;308;0,81;1425;Normal
1/1/2021;PRD006;MKT002;Skincare;Bellora;Core;WE;1;5;1983;1;1;High;13409;14687;0;1626;357;0,82;189;Stockout Risk
1/1/2021;PRD006;MKT003;Skincare;Bellora;Core;WE;2;4;727;0;1;Medium;13409;14687;0;727;0;1;1164;Normal
1/1/2021;PRD006;MKT004;Skincare;Bellora;Core;NA;2;4;1079;0;1;High;13409;14687;0;1079;0;1;918;Normal
1/1/2021;PRD006;MKT005;Skincare;Bellora;Core;NA;3;2;855;0;1;Medium;13409;14687;0;855;0;1;450;Normal
1/1/2021;PRD006;MKT006;Skincare;Bellora;Core;LATAM;2;2;521;0;1;Medium;13409;14687;0;521;0;1;902;Normal
1/1/2021;PRD006;MKT007;Skincare;Bellora;Core;LATAM;3;1;796;0;1;High;13409;14687;0;787;9;0,99;1088;Normal
1/1/2021;PRD006;MKT008;Skincare;Bellora;Core;LATAM;4;5;1026;0;1;Medium;13409;14687;0;1026;0;1;1015;Normal
1/1/2021;PRD006;MKT009;Skincare;Bellora;Core;APAC;4;4;662;0;1;High;13409;14687;0;662;0;1;1310;Normal
1/1/2021;PRD006;MKT010;Skincare;Bellora;Core;APAC;3;4;1221;0;1;High;13409;14687;0;1215;6;1;410;Normal
1/1/2021;PRD006;MKT011;Skincare;Bellora;Core;MEA;3;1;1362;0;1;Low;13409;14687;0;1112;250;0,82;1176;Normal
1/1/2021;PRD006;MKT012;Skincare;Bellora;Core;MEA;4;5;1096;0;1;Medium;13409;14687;0;1096;0;1;1168;Normal
1/1/2021;PRD007;MKT001;Makeup;Bellora;Core;WE;1;3;622;0;1;Medium;10282;9553;0;605;17;0,97;1153;Normal
1/1/2021;PRD007;MKT002;Makeup;Bellora;Core;WE;1;5;581;0;1;Medium;10282;9553;0;581;0;1;1217;Normal
1/1/2021;PRD007;MKT003;Makeup;Bellora;Core;WE;2;4;614;0;1;High;10282;9553;0;614;0;1;733;Normal
1/1/2021;PRD007;MKT004;Makeup;Bellora;Core;NA;2;4;441;0;1;High;10282;9553;0;441;0;1;174;Normal
1/1/2021;PRD007;MKT005;Makeup;Bellora;Core;NA;3;2;961;0;1;Medium;10282;9553;0;817;144;0,85;251;Normal
1/1/2021;PRD007;MKT006;Makeup;Bellora;Core;LATAM;2;2;513;0;1;High;10282;9553;0;513;0;1;1057;Normal
1/1/2021;PRD007;MKT007;Makeup;Bellora;Core;LATAM;3;1;903;0;1;Medium;10282;9553;0;743;160;0,82;349;Normal
1/1/2021;PRD007;MKT008;Makeup;Bellora;Core;LATAM;4;5;633;0;1;Medium;10282;9553;0;633;0;1;951;Normal
1/1/2021;PRD007;MKT009;Makeup;Bellora;Core;APAC;4;4;709;0;1;Medium;10282;9553;0;709;0;1;407;Normal
1/1/2021;PRD007;MKT010;Makeup;Bellora;Core;APAC;3;4;773;0;1;High;10282;9553;0;773;0;1;1265;Normal
1/1/2021;PRD007;MKT011;Makeup;Bellora;Core;MEA;3;1;1312;0;1;High;10282;9553;0;978;334;0,75;1406;Normal
1/1/2021;PRD007;MKT012;Makeup;Bellora;Core;MEA;4;5;685;0;1;High;10282;9553;0;685;0;1;1370;Normal
1/1/2021;PRD008;MKT001;Bodycare;Bellora;Core;WE;1;3;885;0;1;Low;8728;7830;0;735;150;0,83;1366;Normal
1/1/2021;PRD008;MKT002;Bodycare;Bellora;Core;WE;1;5;568;0;1;High;8728;7830;0;568;0;1;985;Normal
1/1/2021;PRD008;MKT003;Bodycare;Bellora;Core;WE;2;4;702;0;1;High;8728;7830;0;696;6;0,99;788;Normal
1/1/2021;PRD008;MKT004;Bodycare;Bellora;Core;NA;2;4;575;0;1;High;8728;7830;0;575;0;1;204;Normal
1/1/2021;PRD008;MKT005;Bodycare;Bellora;Core;NA;3;2;494;0;1;Medium;8728;7830;0;494;0;1;864;Normal
1/1/2021;PRD008;MKT006;Bodycare;Bellora;Core;LATAM;2;2;582;0;1;Medium;8728;7830;0;551;31;0,95;1395;High Overstock Risk
1/1/2021;PRD008;MKT007;Bodycare;Bellora;Core;LATAM;3;1;837;0;1;High;8728;7830;0;686;151;0,82;1368;Normal
1/1/2021;PRD008;MKT008;Bodycare;Bellora;Core;LATAM;4;5;547;0;1;Low;8728;7830;0;547;0;1;384;Normal
1/1/2021;PRD008;MKT009;Bodycare;Bellora;Core;APAC;4;4;405;0;1;High;8728;7830;0;405;0;1;232;Normal
1/1/2021;PRD008;MKT010;Bodycare;Bellora;Core;APAC;3;4;665;0;1;Medium;8728;7830;0;665;0;1;1205;Normal
1/1/2021;PRD008;MKT011;Bodycare;Bellora;Core;MEA;3;1;815;0;1;Medium;8728;7830;0;674;141;0,83;884;Normal
1/1/2021;PRD008;MKT012;Bodycare;Bellora;Core;MEA;4;5;952;0;1;Low;8728;7830;0;930;22;0,98;704;Normal
1/1/2021;PRD009;MKT001;Fragrance;Caspia;Core;WE;1;3;1362;0;1;High;16927;17280;0;1247;115;0,92;1966;Normal
1/1/2021;PRD009;MKT002;Fragrance;Caspia;Core;WE;1;5;1655;0;1;Low;16927;17280;0;1578;77;0,95;1485;Normal
1/1/2021;PRD009;MKT003;Fragrance;Caspia;Core;WE;2;4;943;0;1;Medium;16927;17280;0;943;0;1;1164;Normal
1/1/2021;PRD009;MKT004;Fragrance;Caspia;Core;NA;2;4;1854;0;1;High;16927;17280;0;1669;185;0,9;1676;Normal
1/1/2021;PRD009;MKT005;Fragrance;Caspia;Core;NA;3;2;1461;0;1;High;16927;17280;0;1339;122;0,92;1223;Normal
1/1/2021;PRD009;MKT006;Fragrance;Caspia;Core;LATAM;2;2;928;1;1;Medium;16927;17280;0;928;0;1;517;Normal
1/1/2021;PRD009;MKT007;Fragrance;Caspia;Core;LATAM;3;1;2007;0;1;Low;16927;17280;0;1572;435;0,78;781;Normal
1/1/2021;PRD009;MKT008;Fragrance;Caspia;Core;LATAM;4;5;873;0;1;Medium;16927;17280;0;873;0;1;324;Normal
1/1/2021;PRD009;MKT009;Fragrance;Caspia;Core;APAC;4;4;790;0;1;Medium;16927;17280;0;790;0;1;1411;Normal
1/1/2021;PRD009;MKT010;Fragrance;Caspia;Core;APAC;3;4;1482;0;1;High;16927;17280;0;1482;0;1;1086;Normal
1/1/2021;PRD009;MKT011;Fragrance;Caspia;Core;MEA;3;1;1459;0;1;High;16927;17280;0;1257;202;0,86;824;Normal
1/1/2021;PRD009;MKT012;Fragrance;Caspia;Core;MEA;4;5;1769;0;1;Medium;16927;17280;0;1769;0;1;299;Stockout Risk
1/1/2021;PRD010;MKT001;Skincare;Caspia;Core;WE;1;3;1853;1;1;High;19164;20664;0;1547;306;0,83;1410;Normal
1/1/2021;PRD010;MKT002;Skincare;Caspia;Core;WE;1;5;2568;1;1;Medium;19164;20664;0;2127;441;0,83;897;Normal
1/1/2021;PRD010;MKT003;Skincare;Caspia;Core;WE;2;4;1013;0;1;Medium;19164;20664;0;1013;0;1;757;Normal
1/1/2021;PRD010;MKT004;Skincare;Caspia;Core;NA;2;4;1326;0;1;Medium;19164;20664;0;1326;0;1;967;Normal
1/1/2021;PRD010;MKT005;Skincare;Caspia;Core;NA;3;2;1340;0;1;High;19164;20664;0;1289;51;0,96;925;Normal
1/1/2021;PRD010;MKT006;Skincare;Caspia;Core;LATAM;2;2;925;0;1;High;19164;20664;0;925;0;1;322;Normal
1/1/2021;PRD010;MKT007;Skincare;Caspia;Core;LATAM;3;1;1413;1;1;High;19164;20664;0;1246;167;0,88;540;Normal
1/1/2021;PRD010;MKT008;Skincare;Caspia;Core;LATAM;4;5;1102;0;1;Medium;19164;20664;0;1102;0;1;724;Normal
1/1/2021;PRD010;MKT009;Skincare;Caspia;Core;APAC;4;4;916;1;1;High;19164;20664;0;916;0;1;1245;Normal
1/1/2021;PRD010;MKT010;Skincare;Caspia;Core;APAC;3;4;2121;1;1;High;19164;20664;0;1906;215;0,9;665;Normal
1/1/2021;PRD010;MKT011;Skincare;Caspia;Core;MEA;3;1;1317;0;1;Medium;19164;20664;0;1191;126;0,9;1023;Normal
1/1/2021;PRD010;MKT012;Skincare;Caspia;Core;MEA;4;5;1333;0;1;High;19164;20664;0;1333;0;1;1163;Normal
1/1/2021;PRD011;MKT001;Makeup;Caspia;Seasonal;WE;1;3;1114;0;1;Medium;12887;12035;0;947;167;0,85;1492;Normal
1/1/2021;PRD011;MKT002;Makeup;Caspia;Seasonal;WE;1;5;1208;0;1;Medium;12887;12035;0;1112;96;0,92;705;Normal
1/1/2021;PRD011;MKT003;Makeup;Caspia;Seasonal;WE;2;4;540;0;1;Medium;12887;12035;0;540;0;1;524;Normal
1/1/2021;PRD011;MKT004;Makeup;Caspia;Seasonal;NA;2;4;1013;0;1;High;12887;12035;0;984;29;0,97;903;Normal
1/1/2021;PRD011;MKT005;Makeup;Caspia;Seasonal;NA;3;2;908;0;1;High;12887;12035;0;852;56;0,94;1165;Normal
1/1/2021;PRD011;MKT006;Makeup;Caspia;Seasonal;LATAM;2;2;444;0;1;High;12887;12035;0;444;0;1;318;Normal
1/1/2021;PRD011;MKT007;Makeup;Caspia;Seasonal;LATAM;3;1;1249;0;1;Medium;12887;12035;0;994;255;0,8;1280;Normal
1/1/2021;PRD011;MKT008;Makeup;Caspia;Seasonal;LATAM;4;5;487;0;1;High;12887;12035;0;487;0;1;715;Normal
1/1/2021;PRD011;MKT009;Makeup;Caspia;Seasonal;APAC;4;4;559;0;1;High;12887;12035;0;559;0;1;1190;Normal
1/1/2021;PRD011;MKT010;Makeup;Caspia;Seasonal;APAC;3;4;1206;0;1;High;12887;12035;0;1134;72;0,94;1079;Normal
1/1/2021;PRD011;MKT011;Makeup;Caspia;Seasonal;MEA;3;1;1088;0;1;Medium;12887;12035;0;901;187;0,83;395;Normal
1/1/2021;PRD011;MKT012;Makeup;Caspia;Seasonal;MEA;4;5;1206;0;1;Medium;12887;12035;0;1206;0;1;644;Normal
1/1/2021;PRD012;MKT001;Bodycare;Caspia;Core;WE;1;3;480;0;1;High;6227;6003;0;438;42;0,91;1401;High Overstock Risk
1/1/2021;PRD012;MKT002;Bodycare;Caspia;Core;WE;1;5;398;0;1;Medium;6227;6003;0;398;0;1;781;Normal
1/1/2021;PRD012;MKT003;Bodycare;Caspia;Core;WE;2;4;329;0;1;High;6227;6003;0;329;0;1;1424;High Overstock Risk
1/1/2021;PRD012;MKT004;Bodycare;Caspia;Core;NA;2;4;571;0;1;Low;6227;6003;0;542;29;0,95;383;Normal
1/1/2021;PRD012;MKT005;Bodycare;Caspia;Core;NA;3;2;423;0;1;High;6227;6003;0;418;5;0,99;1322;High Overstock Risk
1/1/2021;PRD012;MKT006;Bodycare;Caspia;Core;LATAM;2;2;231;1;1;High;6227;6003;0;231;0;1;1158;High Overstock Risk
1/1/2021;PRD012;MKT007;Bodycare;Caspia;Core;LATAM;3;1;508;0;1;Medium;6227;6003;0;437;71;0,86;912;Normal
1/1/2021;PRD012;MKT008;Bodycare;Caspia;Core;LATAM;4;5;357;0;1;High;6227;6003;0;357;0;1;900;High Overstock Risk
1/1/2021;PRD012;MKT009;Bodycare;Caspia;Core;APAC;4;4;344;0;1;High;6227;6003;0;344;0;1;144;Normal
1/1/2021;PRD012;MKT010;Bodycare;Caspia;Core;APAC;3;4;542;0;1;Medium;6227;6003;0;542;0;1;1660;High Overstock Risk
1/1/2021;PRD012;MKT011;Bodycare;Caspia;Core;MEA;3;1;944;0;1;Medium;6227;6003;0;688;256;0,73;1041;Normal
1/1/2021;PRD012;MKT012;Bodycare;Caspia;Core;MEA;4;5;728;1;1;High;6227;6003;0;704;24;0,97;413;Normal
1/1/2021;PRD013;MKT001;Fragrance;Domaine;Core;WE;1;3;860;0;1;High;13578;13926;0;860;0;1;825;Normal
1/1/2021;PRD013;MKT002;Fragrance;Domaine;Core;WE;1;5;1230;0;1;High;13578;13926;0;1211;19;0,98;902;Normal
1/1/2021;PRD013;MKT003;Fragrance;Domaine;Core;WE;2;4;899;0;1;Low;13578;13926;0;899;0;1;1456;Normal
1/1/2021;PRD013;MKT004;Fragrance;Domaine;Core;NA;2;4;1034;0;1;Medium;13578;13926;0;1034;0;1;1927;Normal
1/1/2021;PRD013;MKT005;Fragrance;Domaine;Core;NA;3;2;1282;0;1;Low;13578;13926;0;1134;148;0,88;1875;Normal
1/1/2021;PRD013;MKT006;Fragrance;Domaine;Core;LATAM;2;2;900;0;1;High;13578;13926;0;866;34;0,96;249;Normal
1/1/2021;PRD013;MKT007;Fragrance;Domaine;Core;LATAM;3;1;1351;0;1;Low;13578;13926;0;1107;244;0,82;736;Normal
1/1/2021;PRD013;MKT008;Fragrance;Domaine;Core;LATAM;4;5;859;0;1;High;13578;13926;0;859;0;1;0;Stockout Risk
1/1/2021;PRD013;MKT009;Fragrance;Domaine;Core;APAC;4;4;894;0;1;Medium;13578;13926;0;894;0;1;486;Normal
1/1/2021;PRD013;MKT010;Fragrance;Domaine;Core;APAC;3;4;1277;0;1;High;13578;13926;0;1267;10;0,99;714;Normal
1/1/2021;PRD013;MKT011;Fragrance;Domaine;Core;MEA;3;1;1375;0;1;Medium;13578;13926;0;1121;254;0,82;1367;Normal
1/1/2021;PRD013;MKT012;Fragrance;Domaine;Core;MEA;4;5;1342;0;1;High;13578;13926;0;1342;0;1;0;Stockout Risk
1/1/2021;PRD014;MKT001;Skincare;Domaine;Seasonal;WE;1;3;1066;0;1;Medium;18825;17743;0;1066;0;1;1421;Normal
1/1/2021;PRD014;MKT002;Skincare;Domaine;Seasonal;WE;1;5;2359;1;1;High;18825;17743;0;1973;386;0,84;721;Normal
1/1/2021;PRD014;MKT003;Skincare;Domaine;Seasonal;WE;2;4;690;0;1;High;18825;17743;0;690;0;1;1388;Normal
1/1/2021;PRD014;MKT004;Skincare;Domaine;Seasonal;NA;2;4;1499;0;1;Medium;18825;17743;0;1455;44;0,97;388;Normal
1/1/2021;PRD014;MKT005;Skincare;Domaine;Seasonal;NA;3;2;1548;0;1;High;18825;17743;0;1380;168;0,89;2216;Normal
1/1/2021;PRD014;MKT006;Skincare;Domaine;Seasonal;LATAM;2;2;704;0;1;Medium;18825;17743;0;704;0;1;297;Normal
1/1/2021;PRD014;MKT007;Skincare;Domaine;Seasonal;LATAM;3;1;875;0;1;Medium;18825;17743;0;875;0;1;732;Normal
1/1/2021;PRD014;MKT008;Skincare;Domaine;Seasonal;LATAM;4;5;1041;1;1;Medium;18825;17743;0;1041;0;1;0;Stockout Risk
1/1/2021;PRD014;MKT009;Skincare;Domaine;Seasonal;APAC;4;4;675;0;1;High;18825;17743;0;675;0;1;1368;Normal
1/1/2021;PRD014;MKT010;Skincare;Domaine;Seasonal;APAC;3;4;1929;0;1;High;18825;17743;0;1760;169;0,91;2515;Normal
1/1/2021;PRD014;MKT011;Skincare;Domaine;Seasonal;MEA;3;1;2513;0;1;High;18825;17743;0;1855;658;0,74;1552;Normal
1/1/2021;PRD014;MKT012;Skincare;Domaine;Seasonal;MEA;4;5;1413;0;1;Medium;18825;17743;0;1413;0;1;562;Normal
1/1/2021;PRD015;MKT001;Makeup;Domaine;New Launch;WE;1;3;0;0;1;Medium;0;0;0;0;0;1;1332;Normal
1/1/2021;PRD015;MKT002;Makeup;Domaine;New Launch;WE;1;5;0;0;1;Medium;0;0;0;0;0;1;417;Normal
1/1/2021;PRD015;MKT003;Makeup;Domaine;New Launch;WE;2;4;0;0;1;High;0;0;0;0;0;1;463;Normal
1/1/2021;PRD015;MKT004;Makeup;Domaine;New Launch;NA;2;4;0;0;1;Medium;0;0;0;0;0;1;1090;Normal
1/1/2021;PRD015;MKT005;Makeup;Domaine;New Launch;NA;3;2;0;0;1;High;0;0;0;0;0;1;1494;Normal
1/1/2021;PRD015;MKT006;Makeup;Domaine;New Launch;LATAM;2;2;0;0;1;Medium;0;0;0;0;0;1;1497;Normal
1/1/2021;PRD015;MKT007;Makeup;Domaine;New Launch;LATAM;3;1;0;0;1;High;0;0;0;0;0;1;749;Normal
1/1/2021;PRD015;MKT008;Makeup;Domaine;New Launch;LATAM;4;5;0;0;1;High;0;0;0;0;0;1;371;Normal
1/1/2021;PRD015;MKT009;Makeup;Domaine;New Launch;APAC;4;4;0;0;1;Medium;0;0;0;0;0;1;1289;Normal
1/1/2021;PRD015;MKT010;Makeup;Domaine;New Launch;APAC;3;4;0;0;1;Medium;0;0;0;0;0;1;986;Normal
1/1/2021;PRD015;MKT011;Makeup;Domaine;New Launch;MEA;3;1;0;0;1;Medium;0;0;0;0;0;1;423;Normal
1/1/2021;PRD015;MKT012;Makeup;Domaine;New Launch;MEA;4;5;0;0;1;Medium;0;0;0;0;0;1;515;Normal
1/1/2021;PRD016;MKT001;Bodycare;Domaine;New Launch;WE;1;3;0;0;1;Medium;0;0;0;0;0;1;1455;Normal
1/1/2021;PRD016;MKT002;Bodycare;Domaine;New Launch;WE;1;5;0;0;1;Low;0;0;0;0;0;1;304;Normal
1/1/2021;PRD016;MKT003;Bodycare;Domaine;New Launch;WE;2;4;0;0;1;High;0;0;0;0;0;1;820;Normal
1/1/2021;PRD016;MKT004;Bodycare;Domaine;New Launch;NA;2;4;0;0;1;Low;0;0;0;0;0;1;662;Normal
1/1/2021;PRD016;MKT005;Bodycare;Domaine;New Launch;NA;3;2;0;0;1;High;0;0;0;0;0;1;1242;Normal
1/1/2021;PRD016;MKT006;Bodycare;Domaine;New Launch;LATAM;2;2;0;1;1;High;0;0;0;0;0;1;495;Normal
1/1/2021;PRD016;MKT007;Bodycare;Domaine;New Launch;LATAM;3;1;0;0;1;Medium;0;0;0;0;0;1;1091;Normal
1/1/2021;PRD016;MKT008;Bodycare;Domaine;New Launch;LATAM;4;5;0;0;1;High;0;0;0;0;0;1;877;Normal
1/1/2021;PRD016;MKT009;Bodycare;Domaine;New Launch;APAC;4;4;0;0;1;Medium;0;0;0;0;0;1;1269;Normal
1/1/2021;PRD016;MKT010;Bodycare;Domaine;New Launch;APAC;3;4;0;0;1;Low;0;0;0;0;0;1;1273;Normal
1/1/2021;PRD016;MKT011;Bodycare;Domaine;New Launch;MEA;3;1;0;0;1;Medium;0;0;0;0;0;1;1399;Normal
1/1/2021;PRD016;MKT012;Bodycare;Domaine;New Launch;MEA;4;5;0;0;1;High;0;0;0;0;0;1;1243;Normal
1/1/2021;PRD017;MKT001;Fragrance;Elyra;New Launch;WE;1;3;0;0;1;High;0;0;0;0;0;1;678;Normal
1/1/2021;PRD017;MKT002;Fragrance;Elyra;New Launch;WE;1;5;0;0;1;Medium;0;0;0;0;0;1;645;Normal
